GOP,layer, Y-PSNR, bits
92,2,31.680,13992
92,3,32.865,23136
92,4,34.099,30608
92,5,35.220,37440
92,6,36.454,48292
92,7,37.754,58690
92,8,39.005,70392
93,1,30.710,35755
93,2,31.506,16300
93,3,32.660,25886
93,4,33.904,34706
93,5,35.053,42747
93,6,36.268,54611
93,7,37.554,66384
93,8,38.844,82039
94,1,31.223,27330
94,2,32.016,12823
94,3,33.181,20704
94,4,34.383,27008
94,5,35.499,34249
94,6,36.703,44174
94,7,37.983,54170
94,8,39.240,66306
95,1,31.078,26460
95,2,31.943,13750
95,3,33.125,20808
95,4,34.349,27619
95,5,35.501,34302
95,6,36.718,44271
95,7,38.016,53271
95,8,39.315,64851
96,1,31.164,13302
96,2,32.210,7829
96,3,33.356,11823
96,4,34.619,16131
96,5,35.812,20153
96,6,37.234,26566
96,7,38.756,32580
96,8,40.182,37158
97,1,31.112,13487
97,2,32.118,8060
97,3,33.246,12627
97,4,34.527,17432
97,5,35.702,21739
97,6,37.131,29320
97,7,38.648,35637
97,8,40.100,40875
98,1,31.113,13498
98,2,32.123,8211
98,3,33.268,12722
98,4,34.523,17689
98,5,35.684,21882
98,6,37.085,29510
98,7,38.604,35935
98,8,40.059,41556
99,1,31.157,13765
99,2,32.134,8260
99,3,33.278,12623
99,4,34.529,17682
99,5,35.687,21827
99,6,37.096,29282
99,7,38.588,35568
99,8,40.050,41071
100,1,31.214,13281
100,2,32.223,7760
100,3,33.360,11983
100,4,34.619,16741
100,5,35.767,20428
100,6,37.176,27928
100,7,38.675,34095
100,8,40.107,39226
101,1,31.202,13247
101,2,32.204,7893
101,3,33.341,12301
101,4,34.583,17073
101,5,35.745,21152
101,6,37.161,28569
101,7,38.651,34458
101,8,40.106,40245
102,1,31.183,13229
102,2,32.163,8099
102,3,33.293,12473
102,4,34.545,17353
102,5,35.697,21291
102,6,37.126,29124
102,7,38.631,35668
102,8,40.093,41147
103,1,31.124,13370
103,2,32.123,8213
103,3,33.237,12626
103,4,34.480,18026
103,5,35.633,22239
103,6,37.036,30365
